T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,target
-70,-61,-66,-53,-51,-63,-82,-57,-76,-78,-66,-66,-61,-59,-73,-75,-63,-77,B37
-77,-74,-71,-76,-65,-63,-66,-52,-55,-75,-72,-75,-74,-61,-64,-63,-53,-63,B61
-53,-38,-55,-66,-62,-62,-65,-70,-62,-52,-56,-53,-66,-68,-72,-60,-68,-77,A19
-72,-62,-59,-65,-65,-65,-78,-82,-83,-59,-84,-60,-64,-83,-69,-72,-95,-73,A22
-67,-69,-65,-63,-59,-53,-70,-72,-71,-60,-61,-57,-54,-76,-61,-66,-71,-80,A33
-63,-68,-63,-66,-68,-54,-60,-53,-50,-56,-68,-72,-59,-57,-58,-52,-48,-52,A75
-68,-69,-65,-70,-56,-51,-63,-69,-71,-66,-65,-62,-54,-56,-54,-68,-61,-65,A41
-61,-65,-53,-59,-66,-68,-75,-70,-66,-53,-64,-64,-70,-69,-79,-78,-78,-75,B14
-82,-73,-68,-79,-69,-69,-62,-49,-56,-83,-73,-79,-68,-64,-67,-58,-57,-55,B80
-65,-74,-63,-54,-60,-55,-70,-82,-72,-59,-64,-54,-61,-66,-61,-71,-72,-79,A33
-74,-63,-69,-63,-65,-56,-56,-47,-53,-62,-65,-66,-59,-58,-58,-75,-57,-50,B64
-56,-65,-67,-75,-68,-65,-73,-77,-75,-56,-55,-56,-67,-72,-65,-67,-75,-72,A1
-71,-67,-63,-69,-79,-76,-87,-81,-83,-84,-71,-64,-71,-69,-76,-83,-82,-83,B21
-81,-83,-73,-70,-73,-86,-70,-66,-39,-81,-81,-81,-71,-80,-65,-58,-54,-58,A70
-68,-65,-68,-67,-62,-72,-67,-59,-58,-78,-70,-70,-68,-66,-70,-57,-60,-57,B57
-65,-56,-76,-72,-84,-70,-82,-77,-84,-68,-66,-81,-72,-83,-77,-74,-71,-76,B9
-67,-80,-71,-63,-62,-63,-61,-72,-59,-95,-85,-74,-69,-63,-43,-57,-73,-67,B50
-64,-56,-58,-48,-56,-55,-58,-60,-56,-66,-65,-59,-47,-57,-72,-61,-74,-71,B31
-68,-61,-51,-68,-68,-61,-70,-80,-74,-53,-50,-57,-70,-76,-63,-70,-76,-73,A21
-71,-56,-49,-56,-56,-74,-61,-71,-75,-64,-70,-69,-59,-58,-64,-68,-65,-66,B30
-70,-61,-66,-53,-50,-63,-79,-57,-76,-78,-66,-66,-61,-59,-73,-75,-64,-78,B37
-70,-61,-66,-53,-51,-63,-78,-57,-76,-78,-66,-66,-61,-59,-74,-76,-64,-78,B37
-59,-66,-63,-66,-65,-63,-79,-79,-67,-55,-56,-58,-67,-72,-71,-76,-71,-76,A4
-67,-82,-71,-62,-62,-63,-62,-75,-61,-95,-84,-74,-68,-65,-43,-57,-74,-67,B50
-64,-62,-56,-56,-51,-64,-54,-57,-65,-68,-63,-66,-55,-47,-63,-62,-60,-64,B40
-49,-48,-60,-63,-69,-82,-81,-76,-76,-57,-64,-69,-64,-75,-70,-80,-74,-76,B6
-79,-62,-63,-67,-63,-54,-59,-46,-54,-58,-67,-66,-65,-57,-64,-52,-66,-57,A64
-67,-69,-65,-63,-59,-53,-70,-72,-71,-60,-61,-57,-54,-75,-61,-66,-71,-80,A33
-62,-62,-57,-56,-50,-65,-54,-58,-64,-70,-62,-67,-55,-47,-62,-63,-59,-63,B40
-79,-62,-61,-68,-77,-58,-74,-76,-84,-54,-54,-60,-56,-75,-75,-65,-74,-77,A25
-59,-53,-62,-66,-78,-73,-74,-77,-83,-62,-56,-64,-70,-78,-76,-79,-95,-80,B18
-77,-81,-73,-69,-68,-68,-68,-65,-59,-76,-75,-74,-84,-64,-62,-55,-66,-63,A66
-65,-74,-63,-55,-60,-55,-70,-82,-72,-59,-64,-54,-61,-66,-61,-71,-72,-79,A33
-68,-67,-64,-69,-65,-53,-59,-73,-68,-81,-64,-64,-58,-58,-50,-57,-65,-60,A53
-72,-70,-68,-73,-61,-72,-58,-55,-54,-95,-75,-80,-74,-54,-63,-61,-77,-58,B73
-63,-68,-63,-66,-69,-54,-59,-53,-53,-56,-70,-69,-58,-55,-57,-51,-49,-52,A75
-74,-86,-72,-67,-75,-63,-64,-73,-76,-73,-78,-69,-78,-61,-55,-60,-58,-67,A50
-66,-50,-56,-55,-53,-66,-67,-63,-74,-69,-65,-58,-59,-60,-63,-64,-78,-62,B25
-69,-71,-72,-66,-66,-74,-74,-67,-52,-78,-71,-74,-73,-62,-66,-59,-70,-62,B73
-69,-58,-60,-56,-63,-56,-68,-76,-83,-56,-52,-62,-73,-70,-61,-69,-65,-67,A29
-56,-65,-67,-77,-68,-64,-73,-77,-75,-56,-54,-56,-67,-72,-65,-67,-74,-72,A1
-78,-75,-70,-75,-65,-64,-67,-52,-55,-74,-72,-75,-74,-61,-64,-63,-54,-63,B61
-65,-58,-55,-43,-56,-61,-66,-76,-70,-68,-52,-53,-51,-68,-62,-60,-83,-67,A35
-50,-66,-78,-65,-68,-68,-77,-77,-71,-50,-55,-58,-74,-69,-73,-65,-86,-76,A3
